{$U$ / V};{$I$ / µA};\multicolumn{2}{c}{$Z$};\multicolumn{2}{c}{$\Delta Q$ / nC};\multicolumn{2}{c}{$\Delta Q$ / $10^{10} \cdot e_0$}
380;0.2;11045;105;2.72;0.03;1.70;0.02
520;0.4;11174;106;5.37;0.05;3.35;0.03
680;0.6;11444;107;7.86;0.07;4.91;0.05
